STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,tra_cov,Transport coverage,schedule,Type of schedule,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-01,,915658,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-02,,934297,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-03,,1081759,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-04,,1095722,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-05,,1145963,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-06,,1208041,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-07,,1273012,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-08,,1275013,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-09,,1304385,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-10,,1121023,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-11,,956293,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2012-12,,958509,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_ARR,Passengers carried (arrival),TOTAL,Total transport,TOT,Total,AT,Austria,2013-01,,887459,,,
